track_id,description
track_1235108,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0736796,"Marc Teichert is a talented composer who specializes in Dramatic music with epic scope and style. From full orchestra with choir, to dynamic Electronic/Orchestral hybrids, his music has a contemporary sound that calls to mind the work of Hollywood film composers like Hans Zimmer, James Horner, and Harry Gregson-Williams. Marc is comfortable writing in a wide range of styles, including drama, action, horror, romantic, and sci-fi, and his tracks are perfectly suited for high-impact film trailers and movie scores. page profile"
track_1408378,"Michał Riske specializes in scores for various forms of demanding media, such as films, games, trailer music productions and commercial music"
track_1395698,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1383035,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1397076,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1235149,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1156577,"Have a question? You can contact me at Akashic Records is a project dedicated to Production Music, Sound effects, Film Scores, Trailer Music, Corporate, Advertising, Video Games, etc. See my full portfolio at"
track_1125409,"Zeffon was created by a person named Creighton Jenkins, who was at the time, searching for an outlet for his ""creative ideas"", and a way to express himself in general. All the songs involved revolve around a central concept, like a concept album, except with the entire discography. ALSO: The music is FREE for commerical use, regardless of what Jamendo tells you. Just attribute it to me in the end"
track_1235128,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1358392,"We are a group of composers focused on music for media, advertising, films and video games. You might to some elements of latin music in some of the tracks. Thanks for your . Any donation makes a huge difference to us. Dont forget to us at and Thanks again and hope you enjoy the music"
track_1038495,"Electro artist from Paris, France. I make electro/house/pop/funk/soundtrack music and also jingles and loops for professionals (institutions, companies, online ads and videos"
track_0384147,"Jimy, like other whales loves to travel. However, he must stay home until his fever comes down. Dreams are now all he has. Cover photo: Alfonso Romero Please by buying at efielcom Thank you"
track_1185777,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1348756,Are you looking for soundtrack to your next indie project? Do you need funny (or a little scarrry!) backdrop for upcoming short movie? We are BlueJay Studio and we love to create
track_1235104,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1148031,"Have a question? You can contact me at Akashic Records is a project dedicated to Production Music, Sound effects, Film Scores, Trailer Music, Corporate, Advertising, Video Games, etc. See my full portfolio at"
track_1383039,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_0868976,"Инструментальная и вокальная музыка, на стыке жанров, созданная на компьютере. (Автор шаржа (1978) - Валерий Рюмин). Instrumental and vocal music, with combined genres, created on the computer. (Caricature (1978) by Valery Ryumin). А short interview for the site Creative People"
track_1408374,"Michał Riske specializes in scores for various forms of demanding media, such as films, games, trailer music productions and commercial music"
track_1235153,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0781638,"CYNICISM is crawling through the coils of your brain like a hybrid bastard of Death, Thrash and Doom Metal. One simple recipe for this musical insanity: no compromises! Where others stick to their old-fashioned concepts of music, CYNICISM provides you with the emotional variety you always searched for. No boundaries - no comparison - just CYNICISM"
track_1235145,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1125405,"Zeffon was created by a person named Creighton Jenkins, who was at the time, searching for an outlet for his ""creative ideas"", and a way to express himself in general. All the songs involved revolve around a central concept, like a concept album, except with the entire discography. ALSO: The music is FREE for commerical use, regardless of what Jamendo tells you. Just attribute it to me in the end"
track_1316639,"I am a songwriter, musician and producer going under the banner of BDKSonic. I compose music in a wide range of styles such as acoustic, electronic, pop rock and cinematic but specialize in acoustic piano and strings tracks. Thanks for visiting my page and hope you enjoy my music! Official"
track_1393214,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1235112,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1235113,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1235144,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0781639,"CYNICISM is crawling through the coils of your brain like a hybrid bastard of Death, Thrash and Doom Metal. One simple recipe for this musical insanity: no compromises! Where others stick to their old-fashioned concepts of music, CYNICISM provides you with the emotional variety you always searched for. No boundaries - no comparison - just CYNICISM"
track_1397082,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1393254,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1408375,"Michał Riske specializes in scores for various forms of demanding media, such as films, games, trailer music productions and commercial music"
track_1235152,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1349957,Are you looking for soundtrack to your next indie project? Do you need funny (or a little scarrry!) backdrop for upcoming short movie? We are BlueJay Studio and we love to create
track_1393192,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1235105,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1148030,"Have a question? You can contact me at Akashic Records is a project dedicated to Production Music, Sound effects, Film Scores, Trailer Music, Corporate, Advertising, Video Games, etc. See my full portfolio at"
track_1222785,"Hello. I am a retired rock musician still interested in writing and recording. The songs uploaded on this site are mainly acoustic guitar orientated. I believe the songs would be appropriate for film and television. The styles vary from children’s, country, instrumental, drama, renaissance and new age. Thanks for listening"
track_1295373,"Zeffon was created by a person named Creighton Jenkins, who was at the time, searching for an outlet for his ""creative ideas"", and a way to express himself in general. All the songs involved revolve around a central concept, like a concept album, except with the entire discography. ALSO: The music is FREE for commerical use, regardless of what Jamendo tells you. Just attribute it to me in the end"
track_1038494,"Electro artist from Paris, France. I make electro/house/pop/funk/soundtrack music and also jingles and loops for professionals (institutions, companies, online ads and videos"
track_0384146,"Jimy, like other whales loves to travel. However, he must stay home until his fever comes down. Dreams are now all he has. Cover photo: Alfonso Romero Please by buying at efielcom Thank you"
track_0387443,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1235129,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0387414,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0118979,"A self-taught lone wolf, Löhstana builds music, texts and images. He collects instruments and balances styles to compose almost folky, almost rocky and a little poppy tunes. His repertoire is fully and freely available under a creative commons licence. He chose to distribute his art through jamendo.com, and since 2006 his music is shared by listeners all over the world, through radio stations, iPods and various videos on the internet"
track_1083954,"Инструментальная и вокальная музыка, на стыке жанров, созданная на компьютере. (Автор шаржа (1978) - Валерий Рюмин). Instrumental and vocal music, with combined genres, created on the computer. (Caricature (1978) by Valery Ryumin). А short interview for the site Creative People"
track_0781635,"CYNICISM is crawling through the coils of your brain like a hybrid bastard of Death, Thrash and Doom Metal. One simple recipe for this musical insanity: no compromises! Where others stick to their old-fashioned concepts of music, CYNICISM provides you with the emotional variety you always searched for. No boundaries - no comparison - just CYNICISM"
track_1235148,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1397077,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1395699,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_0387434,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1235109,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_0021491,"Olga Scotland has created more than a hundred soundscapes and soundtracks. Some track was included into albums, and others will remain inside the casual game worlds, which created by Animuba Studio. Olga has been working as a composer and sound designer for Animuba Studio since 2005. This music is a journey through magic worlds. It will take you to distant planets and remote epochs, stopping for a cup of tea at a cosy table once in a while, which can be quite magical too"
track_1164344,"Guitarist and vocalist with Canal Blues back in the 90s, Raul has been pursuing a solo career since the early 2Ks. Without losing ground on his blues-rock origins, the emphasis is now on Americana and bluegrass music but with an eye on surf and rockabilly at the same time, not to forget the frequent excursions into Cinematic and Experimental territory. Quite a mess, don’t you think"
track_1152626,"Serge Ozeryan is a Ukrainian musician who writes intense Rock instrumentals with bone-crunching lead guitar work. As lead guitarist for the band Death Valley Screamers, he's been gaining quite a reputation as being one of Ukraine's most formidable and exciting players. Many of Serge's tracks have an edgy cinematic quality making them suitable for everything from Film and TV scores to action-packed Video Games and Commercial campaigns. He also brings us tracks in the Soft Rock, Blues, Folk, Dance, Alternative Rock, and Pop genres"
track_0387418,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1094730,"Инструментальная и вокальная музыка, на стыке жанров, созданная на компьютере. (Автор шаржа (1978) - Валерий Рюмин). Instrumental and vocal music, with combined genres, created on the computer. (Caricature (1978) by Valery Ryumin). А short interview for the site Creative People"
track_1235125,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1420812,"Author and Composer specializing in composing of classical music music intended for piano, harpsichord, guitar. The music, he creates represents both strictly classical style ( from Baroque music to music of the 21st century ) and pop-classical style. Here you'll find music for solo instruments and music for the orchestra"
track_1393235,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1235133,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1082099,"Lepsinamusic has 8 years of experience in creating sound tracks for films, games, video clips, etc. Working to order, gained valuable experience in creating music. Buying tracks under that name for their projects, you get a guaranteed high quality and the ability to be noticed among the competitors. Good luck to you in your ideas and your creativity"
track_1221577,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1350306,Are you looking for soundtrack to your next indie project? Do you need funny (or a little scarrry!) backdrop for upcoming short movie? We are BlueJay Studio and we love to create
track_1415571,"I’m a composer, multi-instrumentalist, producer from spain. I write music for tv, commercials, soundtracks, documentaries, videogames…And also play many guitars in my own solo albums, i am a teacher and a student. Always learning I compose different styles as jazz-fussion, heavy, funky, rock, pop, electronic and orchestrations, so I’m a very versatile composer and easily to compose many genres. For more information visit or"
track_1279494,"We are a group of composers focused on music for media, advertising, films and video games. You might to some elements of latin music in some of the tracks. Thanks for your . Any donation makes a huge difference to us. Dont forget to us at and Thanks again and hope you enjoy the music"
track_0239671,"Farmertan is a rock/indie/alternative/powerpop band from Connecticut, USA consisting of- Paul:Vocals/Guitars -Mike:Guitars-Matt:Bass-James:Drums They have performed with notable indie acts Apples in Stereo, Archers of Loaf, Luna, The Velvet Crush, the Lilys and Mike Watt, to name a few. Their indie work ethic and DIY production has garnered them Guided By Voices comparisons, and has brought them recognition well beyond their expectations. Farmertan would like to thank Europe(the continent-not the 80's band) for the overwhelming"
track_1415829,"Hello, my name is Marco, I'm a composer/producer from Italy. I provide music for videomakers, corporates and everyone who needs music"
track_1402315,"Hello, my name is Marco, I'm a composer/producer from Italy. I provide music for videomakers, corporates and everyone who needs music"
track_0128609,"Very-lo-fi recordings, some of wich made with a cheap classical guitar via a cheap microphone and very little postproduction if any"
track_1107948,"Have a question? You can contact me at Akashic Records is a project dedicated to Production Music, Sound effects, Film Scores, Trailer Music, Corporate, Advertising, Video Games, etc. See my full portfolio at"
track_1195931,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1235138,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1042298,"Electro artist from Paris, France. I make electro/house/pop/funk/soundtrack music and also jingles and loops for professionals (institutions, companies, online ads and videos"
track_0387413,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1038493,"Electro artist from Paris, France. I make electro/house/pop/funk/soundtrack music and also jingles and loops for professionals (institutions, companies, online ads and videos"
track_1353022,Are you looking for soundtrack to your next indie project? Do you need funny (or a little scarrry!) backdrop for upcoming short movie? We are BlueJay Studio and we love to create
track_1407551,"Hello. I am a retired rock musician still interested in writing and recording. The songs uploaded on this site are mainly acoustic guitar orientated. I believe the songs would be appropriate for film and television. The styles vary from children’s, country, instrumental, drama, renaissance and new age. Thanks for listening"
track_1316629,"I am a songwriter, musician and producer going under the banner of BDKSonic. I compose music in a wide range of styles such as acoustic, electronic, pop rock and cinematic but specialize in acoustic piano and strings tracks. Thanks for visiting my page and hope you enjoy my music! Official"
track_1235102,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1383654,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1204034,"Zeffon was created by a person named Creighton Jenkins, who was at the time, searching for an outlet for his ""creative ideas"", and a way to express himself in general. All the songs involved revolve around a central concept, like a concept album, except with the entire discography. ALSO: The music is FREE for commerical use, regardless of what Jamendo tells you. Just attribute it to me in the end"
track_1062993,"Engineer and artist, Fredziak, aka Frédéric Esnault, started working on music after some experience in literature and painting. He devoted several years to produce the ALTITUDES album with the idea that the gap between contemporary pop, electronic production and classical heritage had no reason to exist. Therefore his work illustrates a form of reconciliation between the traditional approach to music and the most unbridled sound experiments"
track_1408372,"Michał Riske specializes in scores for various forms of demanding media, such as films, games, trailer music productions and commercial music"
track_1235155,"other projects as well: Matti Paalanen is a finnish hobbyist composer who has produced music in his home studio for a few years now. His musical background is quite traditional - he played classical piano between ages 4-14 but switched to guitar and self-learning at the age of 12. In the year 2000 he began building a PC based home studio and producing various musical pieces, styles ranging from orchestral soundtracks to electronic ambient. Keywords: royalty free ambient music, free mp3s, background music licence, free background music"
track_1393253,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1306107,"Welcome!! Here you will find different tracks: trailers; music for your video, film, advertising blocks; jingles; music for media and background! Are bound to be some sounds and effects! Collection will be updated! If you want to contact me, please write"
track_1383029,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
track_1057798,"Инструментальная и вокальная музыка, на стыке жанров, созданная на компьютере. (Автор шаржа (1978) - Валерий Рюмин). Instrumental and vocal music, with combined genres, created on the computer. (Caricature (1978) by Valery Ryumin). А short interview for the site Creative People"
track_1397085,"Production Studio OnionAudio is small team of creating great happy, optimistic, scary and positive music for your presentation, video, documentary, commercial and more! If you need a license for a video, ad, or anything, please visit Jamendo Licensing. Without a license, my music cannot be used as it is protected by a CC-BY-NC-ND license, meaning that my productions cannot be modified, and used in any project without a Jamendo Licensing license. Oppositely, feel free to to it on Jamendo. Enjoy"
